@relation 'tmp_1w-weka.filters.unsupervised.attribute.Remove-R2-11,14-21,23,25-35,37-55'

@attribute pageShowType {class0,class1}
@attribute ' pMaxMr' numeric
@attribute ' pMaxTr' numeric
@attribute ' isOnlyOneTerm' {FALSE,TRUE}
@attribute ' isArticleOld' {FALSE,TRUE}
@attribute ' maxRNum' numeric

@data
class0,50,5.1,FALSE,FALSE,36472
class0,50,5.5,FALSE,FALSE,150
class0,50,5.6,FALSE,FALSE,758
class0,50,5.6,FALSE,FALSE,758
class0,17,4,FALSE,FALSE,2061
class0,50,5.4,FALSE,FALSE,1633
class0,21,4.6,FALSE,FALSE,123
class0,50,5.6,FALSE,FALSE,511
class0,50,4.7,FALSE,FALSE,100000
class0,50,4.9,FALSE,FALSE,2811
class0,21,3.8,FALSE,FALSE,26897
class0,50,4.7,FALSE,FALSE,14102
class0,23,4.2,FALSE,FALSE,3
class0,50,5.3,FALSE,FALSE,508
class0,21,4.1,FALSE,FALSE,712
class0,25,4,FALSE,FALSE,2029
class0,50,4.9,FALSE,FALSE,16990
class0,50,5.4,FALSE,FALSE,285
class0,33,4.2,FALSE,FALSE,314
class0,50,5.6,FALSE,FALSE,3764
class0,50,5.1,FALSE,FALSE,379
class0,50,4.7,FALSE,TRUE,10172
class0,50,5.3,FALSE,FALSE,0
class0,50,4.7,FALSE,FALSE,684
class0,50,4.7,FALSE,FALSE,100000
class0,45,5,FALSE,FALSE,63
class0,36,4.8,FALSE,FALSE,3
class0,41,4.7,FALSE,FALSE,32
class0,50,5.3,FALSE,FALSE,5541
class0,30,4.5,FALSE,FALSE,0
class0,29,4.1,FALSE,TRUE,423
class0,50,5.4,FALSE,FALSE,30095
class0,50,5.1,FALSE,FALSE,30160
class0,50,4.7,FALSE,FALSE,77
class0,50,4.6,FALSE,FALSE,8164
class0,25,4.9,FALSE,FALSE,100000
class0,26,3.9,FALSE,FALSE,15
class0,50,5.5,FALSE,FALSE,14978
class0,50,5.5,FALSE,FALSE,14978
class0,50,5.4,TRUE,FALSE,4026
class0,31,4.6,FALSE,FALSE,80406
class0,50,5.1,TRUE,FALSE,332
class0,50,5.3,FALSE,FALSE,87735
class0,50,5.4,FALSE,FALSE,100000
class0,50,5.3,FALSE,FALSE,100000
class0,50,4.8,FALSE,FALSE,141
class0,50,5.6,FALSE,FALSE,1638
class0,28,4.2,FALSE,TRUE,1398
class0,17,4.9,FALSE,FALSE,219
