@relation tmp

@attribute oldpos_page numeric
@attribute articlesPos numeric
@attribute newspos numeric
@attribute list.size() numeric
@attribute pMaxMr numeric
@attribute pMaxTr numeric
@attribute isOfficial {FALSE,TRUE}
@attribute isFirstSite {FALSE,TRUE}
@attribute isOnlyOneTerm {FALSE,TRUE}
@attribute isNav {FALSE,TRUE}
@attribute isExNav {FALSE,TRUE}
@attribute fixRank1 numeric
@attribute site_num numeric
@attribute pageShowType {FALSE,TRUE}
@attribute vr_num_3_out numeric
@attribute vr_num_3_total numeric
@attribute weixinArticleClickPos numeric
@attribute firstBaikePos numeric
@attribute isFirstVideo {FALSE,TRUE}
@attribute isArticleOld {FALSE,TRUE}
@attribute queryTerms numeric
@attribute wxArticle_top3fr numeric
@attribute wxArticle_top2fr numeric
@attribute pMaxFr numeric
@attribute firstDate numeric
@attribute hasTimeliness {FALSE,TRUE}
@attribute avg3 numeric
@attribute rnum[0] numeric
@attribute maxRNum numeric
@attribute fans[0] numeric
@attribute maxFans numeric
@attribute avgread[0] numeric
@attribute maxAvgRead numeric
@attribute avgpublish[0] numeric
@attribute maxAvgPublish numeric
@attribute hasMingyiVr {FALSE,TRUE}

@data
11,3,1,11,50,5.4,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,1,1,-1,-1,FALSE,FALSE,5,2.5,2.5,5,0,FALSE,0,0,0,1,42,6,6,111,111,FALSE
10,4,-1,10,25,4.2,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,0,0,-1,-1,FALSE,FALSE,4,4.333333,4.5,7,346,FALSE,182,2940,2940,44960,44960,0,1599,0,27,FALSE
11,4,3,11,50,5.2,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,0,1,239,0,FALSE,FALSE,1,4.666667,4,6,4,FALSE,154,9637,10033,158027,757842,6067,38786,71,138,FALSE
11,3,-1,11,50,4.8,FALSE,TRUE,FALSE,TRUE,FALSE,0,1,FALSE,1,1,-1,-1,FALSE,FALSE,2,5,5,6,68,FALSE,1,386,32120,4775,155005,309,34454,59,175,FALSE
11,3,-1,11,50,4.6,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,1,1,239,-1,TRUE,FALSE,2,9.666667,8.5,12,27,FALSE,132,26784,26784,1403874,2095800,34796,34796,536,536,FALSE
10,3,-1,10,23,3.9,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,0,0,-1,-1,FALSE,FALSE,5,8.666667,11,11,6,FALSE,724,19958,19958,100530,187714,17290,17290,20,164,FALSE
13,4,-1,13,50,5.6,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,2,2,-1,11,FALSE,FALSE,3,13,13.5,15,24,FALSE,5,10,13,465,2940,29,50,96,96,FALSE
11,4,-1,11,21,4.4,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,0,1,-1,-1,FALSE,FALSE,3,6,6,6,432,FALSE,2315,3584,3584,19649,19649,0,0,0,0,FALSE
12,8,-1,12,50,5.4,FALSE,FALSE,FALSE,FALSE,FALSE,0,2,FALSE,1,2,-1,7,FALSE,FALSE,2,5.333333,5.5,6,41,FALSE,1785,52302,52302,544752,544752,50515,50515,58,196,FALSE
23,4,-1,23,50,5.4,FALSE,FALSE,FALSE,FALSE,FALSE,0,3,FALSE,0,0,-1,1,FALSE,FALSE,2,7.333333,7.5,8,213,FALSE,52,8218,8218,110846,300578,3696,7734,153,204,FALSE
