f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,label
4,0,0,0,0.018744,-1,-1,-585,0,0,0,0,3.48,0.00,39.00,5.3,50.0,3,52.0,44.0,39,0,0,0,1,7,592,0,16,1,0,0,1,2,70,84,0,0,0,0.300,1.000,1,-1,1
4,0,0,0,0.018744,-1,-1,-566,0,0,0,0,3.84,0.40,15592.00,5.4,50.0,8,52.0,45.0,15592,0,0,0,0,26,592,0,16,1,0,0,1,733,6,20,0,0,0,0.429,1.000,1,-1,1
2,0,1,1,0.001236,7,5,-82,0,0,0,0,4.09,0.08,5492.00,4.6,50.0,2,78.0,78.0,5492,0,0,0,0,7,89,2,-1,0,0,1,1,75,11,37,0,0,0,0.167,1.000,1,106,1
2,1,0,1,0.002296,6,3,-57,0,0,0,0,4.45,0.01,843.00,5.2,50.0,7,75.0,75.0,843,0,0,0,0,10,67,3,10,0,0,1,1,5,6,0,0,0,0,0.100,1.000,1,113,1
2,0,0,0,4.71E-4,3,5,-9,0,0,3,0,4.68,1.02,0.01,5.3,50.0,8,80.0,81.0,2165,199278,0,0,2,4,13,3,0,1,0,0,1,6,160,89,0,0,0,0.143,1.000,1,106,1
2,1,0,0,0.001099,10,5,-35,0,0,0,0,4.45,1.04,0.01,5.2,50.0,7,75.0,75.0,3431,300653,0,0,2,4,39,3,0,1,0,0,1,4,63,97,0,0,0,0.077,1.000,1,113,1
2,1,0,0,0.001099,10,5,-26,0,0,0,0,4.51,0.13,11300.00,4.6,50.0,8,79.0,79.0,11300,0,0,0,3,13,39,3,0,1,0,0,1,38,121,86,0,0,0,0.091,1.000,1,113,1
5,0,0,0,0.050078,-1,-1,-547,0,0,0,0,4.37,1.04,0.03,5.3,50.0,7,62.0,84.0,3730,112771,0,0,2,93,640,3,75,1,0,1,1,16,75,86,0,0,0,0.111,1.000,1,107,1
5,0,0,0,0.050078,-1,-1,-572,0,0,0,0,4.50,0.35,0.04,5.3,50.0,10,57.0,84.0,1214,33747,0,0,2,68,640,3,75,1,0,0,1,12,70,84,0,0,0,0.222,1.000,1,107,1
5,0,0,0,0.050078,-1,-1,-557,0,0,0,0,4.33,0.76,0.02,5.2,50.0,8,57.0,83.0,1460,73844,0,0,1,83,640,3,75,1,0,0,1,9,92,89,0,0,0,0.077,1.000,1,107,1
4,0,0,0,0.008549,-1,-1,-1064,0,0,0,0,4.36,0.00,3.00,5.5,50.0,9,52.0,82.0,3,0,0,0,3,4,1068,0,3,0,0,0,1,0,159,93,0,0,0,0.333,1.000,1,107,1
5,0,0,0,0.2526,-1,5,-882,0,0,0,0,3.44,0.00,29.00,4.6,50.0,2,63.0,43.0,29,0,0,0,2,7,889,0,4,0,0,0,1,1,38,89,0,0,0,0.250,1.000,1,112,1
4,0,0,0,0.008549,-1,-1,-1063,0,0,0,0,3.89,0.01,486.00,4.7,50.0,1,62.0,86.0,486,0,0,0,3,5,1068,0,3,1,0,1,1,18,104,91,0,0,0,0.182,1.000,1,107,1
5,0,0,0,0.2526,-1,5,-870,0,0,1,0,3.72,0.00,5.00,4.7,50.0,6,63.0,42.0,5,0,0,0,2,19,889,0,4,0,0,0,1,0,22,86,0,0,1,0.250,1.000,1,112,1
8,0,0,0,0.0,-1,-1,-1865,0,0,0,0,3.35,0.09,0.02,4.0,28.0,8,49.0,66.0,128,8515,0,0,3,0,1865,0,-1,1,0,0,0,2,229,89,0,0,0,0.333,1.000,1,-1,1
4,0,0,0,0.008549,-1,-1,-1063,0,0,0,0,3.72,0.00,6.00,4.7,50.0,2,52.0,79.0,6,0,0,0,2,5,1068,0,3,1,0,0,1,1,29,89,0,0,0,0.167,1.000,1,107,1
6,0,0,0,0.999898,-1,-1,119,0,0,0,0,3.65,0.43,0.02,4.3,35.0,10,52.0,60.0,906,41875,0,0,2,372,253,2,372,1,0,0,0,2,70,98,1,0,0,0.273,1.000,1,-1,1
5,0,0,0,0.2526,-1,5,-854,0,0,0,0,4.52,0.00,74.00,5.6,50.0,8,62.0,86.0,74,0,0,0,3,35,889,0,4,0,0,0,1,6,144,84,0,0,0,0.750,1.000,1,112,1
6,0,0,0,0.999898,-1,-1,284,0,0,0,0,3.51,0.25,0.01,4.1,41.0,9,53.0,45.0,240,24793,0,0,1,537,253,2,372,0,0,0,0,3,14,94,1,0,0,0.667,1.000,1,-1,1
3,0,0,0,0.013096,-1,5,-100,0,0,0,0,4.80,2.61,0.14,5.4,50.0,9,80.0,84.0,100000,737353,0,0,3,92,192,3,91,1,0,0,0,1830,161,90,0,0,0,0.200,1.000,1,110,1
3,0,0,0,0.013096,-1,5,-96,0,0,0,0,4.78,2.74,0.03,5.3,50.0,9,80.0,84.0,73924,2351027,0,0,2,96,192,3,91,0,0,1,0,3667,236,90,0,0,0,0.250,1.000,1,110,1
3,0,0,0,0.013096,-1,5,-101,0,0,0,0,4.81,1.60,0.04,5.4,50.0,9,80.0,85.0,44384,1030260,0,0,2,91,192,3,91,1,0,0,0,472,45,84,0,0,0,0.333,1.000,1,110,1
3,1,0,1,0.017174,-1,5,-208,0,0,0,0,4.81,0.96,0.01,5.4,50.0,13,62.0,86.0,552,94906,0,0,3,11,219,2,20,0,0,0,1,7,75,77,0,0,0,0.111,1.000,1,106,1
